ticker,shortName,sector,industry,currency,country,marketCap,enterpriseValue,trailingPE,forwardPE,pegRatio,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,ebitdaMargins,debtToEquity,currentRatio,quickRatio,totalDebt,totalCash,ebitda,freeCashflow,operatingCashflow,dividendYield,payoutRatio,fiveYearAvgDividendYield,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,beta,trailingEps,forwardEps,bookValue,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,sharesOutstanding,floatShares,heldPercentInsiders,roic,net_debt_to_ebitda,fcf_calc,revenue_cagr_3y,share_count_change,price,sma20,sma50,sma200,px_vs_sma50,px_vs_sma200,golden_cross,rsi14,macd_hist,macd_bullish,adx14,atr_pct,bb_position,high_52w,low_52w,pct_from_52w_high,pos_in_52w_range,mom_1m,mom_3m,mom_6m,mom_12m,volatility_ann,max_drawdown_1y,volume_trend,trend_up,mom_12_1,market,fcf_yield,earnings_yield,analyst_upside,score_value,score_quality,score_momentum,score_health,data_coverage,score_total,rank,flags,updated_at
RIO.L,RIO TINTO PLC ORD 10P,Basic Materials,Other Industrial Metals & Mining,GBp,United Kingdom,125847683072,143827632128.0,14.17216,12.635094,5.63,2.6211648,2.0366008,6.278,2.328,19.312,8.106,19.584998000000002,28.049000000000003,29.751,37.077,31.872,1.424,0.926,22851999744.0,9507000320.0,22911000576.0,3595500032.0,19081000960.0,4.56,54.879999999999995,7.36,15.5,46.9,0.472,0.664,5.46,6.1242123,29.521225,7527.5884,2.52381,21.0,1254609033,1431923350.0,0.14696,14.636308904599717,0.723121789849395,4497000000.0,1.2351170642700415,0.07550493668098124,7738.0,7514.889404296875,7196.62044921875,6952.398806152344,7.52269144387101,11.299714181419773,True,64.3474872701524,0.11652502490919403,True,14.537982471350702,2.4564388800670303,75.09669909393922,8305.6708984375,4569.4990234375,-6.834738642778304,84.80608180164356,2.8184156759405,3.492049767588301,16.656672558111453,64.85117812334538,27.73454650356055,-22.291484055127064,1.031806731582096,True,62.03276244740488,UK,2.857025210343318,7.056087427745664,-2.7191987593693456,57.5,73.1,55.2,62.8,100.0,62.4,1.0,Bilancio solido | Dividendo sostenibile | Trend rialzista,2026-09-08T18:11:06.337517+00:00
INVE-B.ST,Investor AB ser. B,Financial Services,Asset Management,SEK,Sweden,1249767063552,1348805984256.0,4.761877,25.901588,5.08,1.1509446,3.8103356,4.959,4.112,27.254,15.065999999999999,80.067,88.697,89.444,82.917,11.589,2.236,1.654,125865000960.0,20027000832.0,271980494848.0,166005374976.0,23918000128.0,1.38,6.36,1.75,117.0,158.9,1.589,0.78,85.67,15.75,354.448,391.5,,4.0,1816766725,2441510949.0,0.00254,,,,,0.009066900393994715,407.95001220703125,412.51499938964844,407.73399963378904,366.5743104553223,0.052978798294045504,11.287125303547917,True,45.36104575700048,-1.3046802730934934,False,16.949740146341437,1.1785682359609853,17.124244657997203,424.04998779296875,276.7679748535156,-3.796716436600367,89.06860704534496,-3.7172526660924743,7.994708724561539,15.796835839042679,43.39271976318657,16.774560692025688,-12.56750636235836,0.9058868981547372,True,47.10997242927905,Nordics,13.282905256295619,21.00012243071377,-4.032359778110017,51.3,84.6,44.1,64.4,100.0,61.4,2.0,FCF yield elevato | Trend rialzista,2026-09-08T18:11:06.337517+00:00
ELE.MC,"ENDESA,S.A.",Utilities,Utilities - Regulated Electric,EUR,Spain,42144231424,54230269952.0,16.29134,17.35207,3.97,5.2011065,1.9948987,9.395,2.567,29.047,6.5040000000000004,12.4350004,18.354,42.691,27.322000000000003,119.733,0.758,0.476,11031000064.0,277000000.0,5772000256.0,1975143936.0,3967000064.0,3.82,19.690001,7.02,3.5000000000000004,67.80000000000001,0.627,0.562,2.54,2.38473,7.956,35.71391,3.56522,23.0,1018468544,292800823.0,0.70119005,12.973692058467169,2.0135491155438463,2207000000.0,-13.5552967665596,-1.8653848904887305,41.380001068115234,41.57499980926514,40.76607292175293,35.07193322181702,1.5059781390782678,17.986085358916526,True,50.36676038592654,-0.1487167610533442,False,18.41972383155885,1.5379871667891083,36.72139539590822,42.470001220703125,25.044679641723633,-2.5665178273094558,93.74473436459974,-2.035986212543106,14.158730820235487,24.58540324483105,66.561279126964,20.16024441524034,-7.642480332031454,0.7575570701843396,True,68.5972653395071,Spagna,4.686629389746585,6.138230495465688,-13.69282484741442,49.6,66.5,75.1,51.5,100.0,61.3,3.0,Trend rialzista,2026-09-08T18:11:06.337517+00:00
NTGY.MC,"NATURGY ENERGY GROUP, S.A.",Utilities,Utilities - Regulated Gas,EUR,Spain,27235971072,41350692864.0,13.548387,14.0648985,6.98,2.844152,1.3902287,8.25,2.111,22.853,5.9759997,10.673001,23.679,39.119998,25.583,140.835,1.371,0.998,16526999552.0,4706999808.0,5011999744.0,1768749952.0,4184000000.0,8.12,81.67,6.02,11.5,10.6,0.069,0.458,2.17,2.09031,10.337,30.62294,2.47059,17.0,926393571,258549251.0,0.45613,13.443714075196155,2.2352516687714235,2376000000.0,-16.951229862297936,-3.574415773429851,29.399999618530273,29.432000160217285,28.708222846984864,26.500889558792114,2.4096816275691824,10.939670735604912,True,52.456249949805276,-0.05142477315610383,False,14.255001447245224,1.5662177672075925,47.39872791564698,29.979999542236328,23.4006290435791,-1.9346228571115898,91.18456813118479,2.367689141481244,2.0380445215989473,22.52680590126086,19.929525565402926,20.12792518914193,-11.328983766167589,0.5946322489513102,True,17.561836423921683,Spagna,6.4941688597193705,7.38095243367347,4.1596612154339185,59.4,67.0,60.4,53.1,100.0,61.0,4.0,Trend rialzista | Buyback in corso,2026-09-08T18:11:06.337517+00:00
NOVO-B.CO,Novo Nordisk B A/S,Healthcare,Drug Manufacturers - General,DKK,Denmark,1290326114304,1418913251328.0,11.12381,13.366934,3.28,5.843272,3.916833,8.17,4.307,59.815,18.729000000000003,35.347,42.540002,81.987,52.72,63.327,0.873,0.642,140126994432.0,44982001664.0,173677002752.0,37673250816.0,131881000960.0,3.91,44.57,1.93,2.1,-20.599999999999998,-0.208,0.344,26.25,21.84495,49.972,309.73218,2.875,23.0,3344053124,3173014289.0,0.05283,35.41731591840979,0.6667177101876487,28989000000.0,20.42851902310494,0.048158275984699905,292.0,297.83108673095705,308.9316339111328,291.44097198486327,-5.48070577841936,0.19181517661346348,True,42.50440084883609,0.1814684576221124,True,14.046553778224137,3.0668357432949658,17.16666540594239,383.0907897949219,220.968017578125,-23.777859510453137,43.813698378466086,-3.075006976933825,4.457137092940022,32.1458205582901,-16.20992460233399,47.20739334964003,-76.74707185135144,0.9267324478348145,False,-13.134917625400167,Nordics,2.9196689424766777,8.989725642563114,6.072664383561643,53.5,80.6,51.9,49.6,100.0,60.6,5.0,ROIC forte | Bilancio solido,2026-09-08T18:11:06.337517+00:00
BMPS.MI,BANCA MONTE PASCHI SIENA,Financial Services,Banks - Regional,EUR,Italy,35385417728,73915760640.0,9.705,13.057811,0.96,1.3401612,6.2974377,,13.155,15.021999999999998,1.6230000000000002,52.342,54.271,0.0,0.0,,,,74527899648.0,38134099968.0,,,761332992.0,7.41,71.849996,5.05,99.5,-47.199999999999996,0.273,0.932,1.2,0.89188,8.69,11.76667,2.0,6.0,3038418183,2196654810.0,0.37627998,,,1620924000.0,14.963786864132732,141.18520350915688,11.645999908447266,11.691899919509888,11.526439971923828,8.963010103702546,1.0372668127770712,29.9340263338139,True,52.76642710045009,-0.029141453045467315,False,18.709242368725445,1.734369423462696,44.87498324363276,12.03600025177002,6.327620983123779,-3.240281947197532,93.16793217533979,-2.134451413657934,13.332034668232984,73.42140179500723,74.03336695700456,33.00258432929377,-25.486631318722107,0.716933819751664,True,76.16781837066249,Italia,4.580768305350215,10.303967027305513,1.036150545263248,56.8,58.5,68.6,57.0,100.0,60.3,6.0,Dividendo sostenibile | Trend rialzista,2026-09-08T18:11:06.337517+00:00
RBI.VI,Raiffeisen Bank Internat. AG,Financial Services,Banks - Regional,EUR,Austria,21506113536,19074242560.0,9.135285,10.277089,2.84,1.0523949,2.4207692,,2.147,12.171999999999999,1.275,27.903998,51.327999999999996,0.0,0.0,,,,34724999168.0,37979000832.0,,,1994000000.0,2.51,22.309999,4.07,1.7999999999999998,,,1.268,7.17,6.3734,62.239,54.84167,2.08333,12.0,328337590,127232259.0,0.6117,,,8524000000.0,-1.618476318689832,-0.05282747285093592,65.5,62.625000190734866,59.346000061035156,45.7333602142334,10.36969624344637,43.22149016204304,True,66.58620239856906,0.0639801369895514,True,21.27165178137465,2.5598632880260097,103.33323171767495,65.5,27.216176986694336,0.0,100.0,4.465708457719142,37.20150334545102,72.37527351462833,137.1363761570552,37.64602837895601,-17.983651568771663,0.8247766410230626,True,132.67066769933606,Irlanda_Austria,39.63524132675722,10.946565980152782,-16.272259541984734,67.3,49.0,78.9,33.2,100.0,59.6,7.0,FCF yield elevato | P/E forward basso | Trend rialzista,2026-09-08T18:11:06.337517+00:00
RR.L,ROLLS-ROYCE HOLDINGS PLC ORD SH,Industrials,Aerospace & Defense,GBp,United Kingdom,122121019392,121903939584.0,41.13889,30.07534,2.23,,5.27179,23.917,5.262,114.48499999999999,7.796,13.114999,21.104,28.802,22.003001,151.735,1.239,0.753,4373000192.0,6483999744.0,5096999936.0,4602500096.0,5117000192.0,80.0,26.19,1.74,20.599999999999998,-63.0,-0.635,1.188,0.36,0.49243,0.343,1718.05,,20.0,8245848377,8150486868.0,0.00051,631.7574274457245,-0.21648851210222386,3580000000.0,16.189669115443973,-0.2894720757847691,1481.0,1513.520001220703,1471.6784228515626,1289.122227783203,0.6333976909422612,14.884373884914947,True,47.448288425245615,-8.761125270399749,False,12.17369847993778,2.421221022680894,21.86129006675495,1570.3399658203125,1028.91552734375,-5.689211748084322,83.49908879774736,-3.202614379084967,20.059711447448425,19.58996774555399,35.5717745787949,36.75427159283557,-19.394848747118054,0.704394366813303,True,38.77438895787987,UK,3.7688025525125153,2.430789941099529,16.00607697501688,39.0,74.1,60.2,62.3,100.0,58.3,8.0,ROIC forte | Bilancio solido | Dividendo sostenibile | Trend rialzista,2026-09-08T18:11:06.337517+00:00
ITX.MC,INDUSTRIA DE DISE...O TEXTIL S.,Consumer Cyclical,Apparel Retail,EUR,Spain,175967485952,174607613952.0,28.119404,23.652395,3.99,9.276218,4.362109,18.355,4.328,33.955002,14.310001,15.592,20.069,56.477,23.582000999999998,31.815,1.291,0.952,6040999936.0,10796999680.0,9512999936.0,,,1.13,57.76,2.09,5.800000000000001,5.3,0.054,0.905,2.01,2.38961,6.093,60.38333,1.66667,24.0,3113366768,1109711054.0,0.64349,30.672940539195988,0.07093980077955825,6520000000.0,6.969216956560764,0.05203037165384394,56.52000045776367,57.657999992370605,56.59199981689453,53.945102024078366,-0.12722533107826228,4.773182989877367,True,45.39094816171626,-0.24747591219838366,False,16.08858182988702,1.834980148330482,11.89302678718051,59.099998474121094,42.847930908203125,-4.365478989795846,84.12510896910183,-3.6481408032987717,2.7262813295530153,9.588245422869935,28.743479790936235,24.789548598712518,-19.398595601725876,0.8029817553297814,False,32.39162059423501,Spagna,3.7052299546852145,3.5562631412813728,6.83533176034441,41.1,68.6,65.6,59.0,100.0,58.2,9.0,ROIC forte | Bilancio solido,2026-09-08T18:11:06.337517+00:00
WKL.AS,WOLTERS KLUWER,Industrials,Specialty Business Services,EUR,Netherlands,14971226112,19209279488.0,11.497437,10.842564,1.73,19.064627,2.4518876,9.866,3.146,146.14100000000002,9.757,21.864,26.871002,74.074996,31.886998,590.213,0.688,0.675,5548000256.0,1494000000.0,1947000064.0,1247874944.0,1692000000.0,3.83,43.04,1.88,-0.6,8.9,0.049,0.189,5.85,6.20333,3.528,89.43333,1.73333,15.0,222587363,222642000.0,0.00238,29.189525663005146,1.7949753252579632,1363000000.0,3.9497697696838863,-3.477613685555725,67.26000213623047,69.00998268127441,65.31613540649414,68.11110622406005,2.97608962569309,-1.2495819478100523,False,47.421419656320545,-0.416839143514218,False,24.040958642537454,3.626471436190644,8.032670449072295,111.9175033569336,54.85398483276367,-39.90215996713125,21.740715652176412,-2.6357981053309776,8.168717571880046,4.249527584567692,-33.636031936053826,38.483714598393384,-67.8464286736479,0.9640969886918971,True,-31.00023383072285,Paesi_Bassi,8.33515528163576,8.697590602148983,32.96658810515496,62.2,82.4,39.2,33.6,100.0,58.2,9.0,FCF yield elevato | P/E forward basso | ROIC forte | Lontano dai massimi | Buyback in corso | Upside analisti,2026-09-08T18:11:06.337517+00:00
